Comentario,Fecha,Estrellas,Nombre,Tipo Establecimiento,Dirección,Coordenadas,Latitud,Longitud,Calificación,Fecha_numero
"Todo excelente, existe muy buena atención, calidad en los productos y servicios, instalaciones limpias y apropiadas para estos eventos.|Quiero resaltar la espectacular ayuda del Sr. Marlon que nos brindo todo el apoyo y logística para lograr un evento 10/10.",Hace 11 meses en Tripadvisor,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,07/27/2023
"No me he hospedado en este lugar, asistí a una recepción y realmente feo, el servicio malo, parqueadero incomodísimo y pequeño, y algo caro para lo que ofrece.",Hace 7 meses en Google,3/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,0.0,11/24/2023
Buena atención de parte de los colaboradores. La edificación es antigua y necesita mantenimiento. En mi habitación había una ventana que no cerraba por completo y hacia mucho frío.,Hace un año en Google,3/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,0.0,06/22/2023
Excelente lugar muy bonito,una semana atrás en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/21/2024
"Llame para realizar una reserva hablé con Diego y Nathalia. Hasta anote los nombres porque ya me ha pasado que luego te niegan , cuando llegamos nos dicen que no hay nada reservado. Que pérdida de tiempo y delicadeza con el cliente .. no regreso más",Hace un año en Tripadvisor,1/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,-1.0,06/22/2023
"Tengo algunas cosas que resaltar y otras que decirles que tienen grandes oportunidades que mejorar.
Las habitaciones son cómodas y limpias,la ubicación me encanta yo sugerí a mi novio realizar nuestra boda en el Hotel pero la atención desde el día 1 fue fatal ,horrible decepcionante, me atendió una tal gabriela por teléfono y jamas recibí cotizaciones  ni  ayuda , ni servicio absolutamente nada, luego escribi al hotel para ponerme en contacto con otra persona  y me comunicaron con Stephanie  Rios la cual nos atendió, pero fue un servicio muy basico, realmente el servicio en este hotel es de lo peor, el día de la boda no cumplieron con todo lo solicitado y por lo que se pago, el sonido horrible ,la decoración fatal ,las flores no era lo que se indico,, lo único bueno y rescatable era el Capi a cargo la bar tender, y la comida exquisita y la persona a cargo de mi evento brillo por su ausencia, las personas que manejaron el sonido tenían pésima actitud los meseros un servicio pobre y mucho que desear los invitados  solicitaban algo y ellos los  ignoraban mi evento lo realize el 10-22-2022 del presente año .
Así que no recomendaría nunca a nadie hacer nada en este hotel.",Hace un año en Google,2/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,-1.0,06/22/2023
El hotel es perfecto para familia o viajes de negocios habitaciones muy cómodas y los desayunos muy buenos excelente atención,Hace 9 meses en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,09/25/2023
"Habitaciones muy amplias y cómodas.
Vista e iluminación estupenda.
Iluminación nocturna óptima.
Aseo impecable.
Personal muy amable sin ser ceremonioso.
WiFi funciona sin problemas.
Precio mas que razonable por la calidad ofrecida.",Hace 2 años en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/22/2022
Una experiencia única en alojamiento y servicios de restaurantes y cafetería con comida deliciosa acompañada de la amable atención de su personal,Hace 7 meses en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,11/24/2023
"Falta comunicación entre los departamentos cuando se hace una reserva....
El problema se da en recepción....hay una desconeccion completa entre todo el personal de esta área.....nunca envían información....ni están al tanto de las reservas
Adicional a eso hay una mala actitud del recepcionista de hoy martes 27 de Diciembre.....",Hace un año en Google,4/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/22/2023
Muy bueno a los huéspedes les gustaron las habitaciones un buen servicio y un muy buen trato sales.dio,Hace 9 meses en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,09/25/2023
Increíble ubicación en plena Av Amazonas por dónde pasá el desfile nocturno por las fiestas de Quito,Hace 6 meses en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,12/24/2023
"Excelente hotel para familia o viajando por negocios, las habitaciones muy comodas y el desayuno perfecto",Hace 9 meses en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,09/25/2023
Super buen hotel,una semana atrás en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/21/2024
"Excelente ubicación, disponen de parqueadero incluido. Limpieza y servicio de primera, la comida es excelente y el servicio de buffet en el desayuno es lo mejor para iniciar el día. Todo el personal es muy amable y guardan los protocolos de bioseguridad recomendados por el COE nacional.",Hace 2 años en Tripadvisor,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/22/2022
